# SCE Subscribers @2019-10-09T19:19:48Z
# CSV line format: subscriber-id, domain, mappings, package-id
2ca17d647c35,,81.20.246.124,1100
4434a72cdcfc,,128.65.225.165,1200
bc4dfb515570,,128.65.234.194,1200
00265b89ae40,,78.29.176.227,1200
bc14019f1a90,,78.29.188.121,1100
1cabc0ddf510,,78.29.140.57,1100
84948cf1cf90,,81.20.245.11,1100
68b6fc2ffe00,,81.20.253.222,1100
2ca17d64740d,,128.65.225.116,1100
0005cae450b0,,78.29.165.150,1200
2ca17d6b83a5,,78.29.170.200,1200
84948c655e80,,78.29.173.43,1200
a84e3f2c8150,,78.29.158.236,1100
788df7066650,,81.20.245.114,1100
68b6fcece8a0,,128.65.254.154,1100
84948c0fe570,,78.29.172.234,1100
00fc8dbf00f0,,78.29.136.152,1100
1cabc0d7b930,,78.29.141.124,1200
2ca17d73c105,,78.29.142.247,1200
0c473d0a35f0,,78.29.186.105,1100
f0f249992f80,,78.29.186.249,1200
84948c08e210,,81.20.255.175,1100
84948cf1cf10,,128.65.224.205,1200
bc4dfb515c80,,128.65.230.126,1100
0c473d161900,,128.65.248.90,1100
001e2aa629d8,,78.29.172.233,1010
1cabc01fa8f0,,78.29.177.10,1100
84948c0f3180,,78.29.133.24,1100
bc140107ede0,,78.29.133.136,1100
84948cf090b0,,78.29.148.209,1200
e8825baf2129,,128.65.229.7,1200
0c473d0b53a0,,128.65.234.52,1100
8c5bf07b8fd4,,78.29.162.54,1200
2c1db88e0af2,,78.29.179.170,1200
a84e3f352780,,78.29.172.235,1100
84948cf97820,,78.29.154.247,1200
f0f249c62280,,81.20.248.48,1100
2ca17d71ca13,,81.20.249.205,1200
84948cf74270,,128.65.231.187,1200
4434a706bd0b,,128.65.236.142,1100
0c473d1750e0,,128.65.243.77,1100
84948c68c810,,78.29.167.126,1200
788df706a930,,128.65.240.8,1200
a84e3f197e40,,128.65.240.25,1100
00fc8d6d2b50,,128.65.255.111,1100
68b6fc8e47b0,,78.29.177.54,1100
bc140165ae80,,78.29.188.80,1100
a84e3f2e9f50,,78.29.130.23,1200
00fc8d6b2b70,,81.20.249.41,1100
1cabc0ef1580,,128.65.248.124,1120
1cabc0cbc2c0,,78.29.167.9,1100
f0f2499a0820,,78.29.139.128,1100
00fc8d6bb510,,78.29.142.44,1010
84948c6556e0,,78.29.149.74,1100
84948c05c250,,81.20.245.138,1100
0005cabee1a0,,128.65.241.39,1100
0c473d107d00,,128.65.247.32,1100
bc1401a06760,,78.29.178.122,1100
84948c0539c0,,78.29.128.178,1100
00265b274cb0,,78.29.141.106,1100
00265b8abf40,,128.65.228.132,1100
2ca17d58648f,,78.29.166.48,1100
68b6fc8f3370,,78.29.185.47,1100
2ca17d67cbc1,,78.29.131.102,1100
84948c651580,,78.29.148.130,1100
2ca17d6a7cf5,,81.20.246.103,1200
1cabc0cd19d0,,128.65.226.3,1100
84948ca677b0,,128.65.231.46,1200
bc14011a94c0,,78.29.174.90,1100
a84e3f1a8950,,78.29.176.197,1120
84948ca53fb0,,78.29.137.227,1100
a84e3f1b8b00,,128.65.227.143,1100
00fc8d6b4290,,128.65.242.81,1100
00265b365550,,128.65.254.254,1100
1cabc0cd2bb0,,78.29.172.134,1100
8c5bf078ad7a,,78.29.187.34,1200
0005caae8620,,78.29.134.66,1030
bc14018ee880,,128.65.229.74,1100
a84e3f2e9da0,,128.65.232.207,1030
a84e3f2c7170,,78.29.162.89,1100
84948c0f90f0,,78.29.174.79,1100
4434a706bbd9,,78.29.128.127,1100
84948ca6e9f0,,78.29.147.26,1100
84948c7d10f0,,128.65.247.98,1200
001e6972431c,,78.29.170.234,1010
00265b3159b0,,78.29.150.198,1100
00fc8dbb9910,,81.20.251.110,1120
f0f249c3f5b0,,128.65.239.121,1100
2ca17d6ee447,,128.65.248.153,1120
0c473d124d50,,78.29.183.89,1100
1cabc0df2cf0,,78.29.187.144,1100
f0f249577f40,,78.29.149.145,1100
1cabc0cc7220,,78.29.131.60,1200
2ca17d53daed,,81.20.248.106,1200
0c473d0c53c0,,128.65.232.42,1100
84948c80c330,,128.65.242.13,1100
1cabc0cc72d0,,128.65.245.151,1100
4434a7095873,,128.65.246.135,1200
2ca17d512eed,,78.29.191.213,1100
00265b8b2d80,,128.65.233.169,1100
00fc8d6b9770,,78.29.190.18,1100
2ca17d57eb45,,78.29.147.164,1100
4434a7094dc3,,128.65.226.121,1100
f0f2499a6e90,,78.29.130.53,1200
0005ca8b9a10,,78.29.144.103,1100
00265b89d190,,78.29.150.37,1100
84948c069690,,78.29.150.153,1100
1cabc0dae670,,78.29.136.44,1200
84948c08a7a0,,78.29.137.80,1100
0005ca94a2c0,,81.20.251.223,1100
68b6fcecc470,,128.65.243.44,1100
0c473d10fff0,,128.65.243.238,1200
bc4dfb506f40,,128.65.246.238,1100
2ca17d5e03b7,,128.65.253.114,1100
2ca17d6bcc11,,78.29.128.196,1200
f0f249981750,,78.29.159.192,1100
68b6fceafc40,,128.65.252.214,1100
1cabc0cb85b0,,78.29.166.63,1200
8c5bf076d164,,128.65.232.208,1200
0c473d0a6140,,128.65.235.93,1100
788df7066ef0,,128.65.243.59,1200
8c5bf07b9844,,128.65.243.184,1100
2ca17d5ab9b9,,128.65.244.190,1200
2ca17d6b8bbb,,128.65.246.243,1200
0c473d10e1e0,,78.29.172.141,1200
bc4dfb515350,,78.29.180.203,1200
84948cf70450,,78.29.136.110,1100
84948cf8e5f0,,78.29.148.44,1100
0005cacd1150,,78.29.159.41,1060
84948c65d470,,128.65.235.131,1100
0c473d158880,,128.65.255.43,1100
1cabc01f8f30,,78.29.170.71,1100
f0f24999b5c0,,78.29.185.121,1120
84948caab080,,78.29.135.101,1100
a84e3f29ac10,,78.29.153.249,1200
84948ced85c0,,78.29.177.76,1100
1cabc0cd2ad0,,78.29.185.60,1100
84948c63d030,,81.20.255.34,1100
84948c03e7c0,,128.65.241.182,1030
1cabc0d0eb90,,128.65.254.178,1100
bc14011a80e0,,78.29.173.39,1200
1cabc01e21e0,,78.29.174.230,1100
00265b886700,,78.29.176.44,1100
7c26343a30c6,,78.29.131.190,1100
1cabc0dad1a0,,78.29.151.248,1100
1cabc0dee6a0,,81.20.255.16,1100
2ca17d700ba9,,128.65.239.178,1200
2ca17d5bee2f,,78.29.190.93,1120
00fc8d6c8e10,,78.29.147.68,1100
84948c038a50,,78.29.158.196,1100
1cabc0cf8200,,78.29.159.84,1100
bc4dfb508fc0,,128.65.247.216,1100
84948c0a1250,,78.29.161.85,1100
84948c7f72d0,,78.29.168.10,1100
bc4dfb3ecbb0,,78.29.173.99,1100
0c473d133820,,78.29.135.172,1100
1cabc01f1ba0,,81.20.244.101,1010
a84e3f2b17d0,,81.20.253.17,1200
f0f2491a6e10,,78.29.135.221,1100
2ca17d58f567,,78.29.171.120,1100
a84e3f19bd30,,78.29.179.40,1100
7c26343a75e4,,81.20.244.251,1200
2ca17d57f8c5,,81.20.253.135,1100
84948cf84820,,128.65.224.197,1100
f0f249c3da80,,128.65.232.112,1100
788df7051b20,,78.29.169.38,1200
2ca17d702349,,78.29.170.247,1200
8c5bf078ce74,,78.29.133.141,1100
7c26343a790e,,78.29.143.5,1200
2ca17d57f40f,,81.20.246.199,1100
bc1401a061b0,,81.20.249.176,1100
a84e3f344600,,128.65.246.215,1100
00265b191d90,,128.65.248.59,1030
a84e3f2b1f50,,78.29.169.239,1200
68b6fcec44d0,,78.29.132.158,1100
0005ca94b320,,78.29.151.43,1100
bc4dfb50b760,,78.29.153.124,1200
1cabc0cd5d90,,78.29.164.243,1100
68b6fc308400,,78.29.173.140,1100
0c473d1663c0,,78.29.143.127,1100
68b6fcea0d00,,78.29.157.144,1100
1cabc0d7f220,,128.65.232.135,1100
bc140167fc30,,78.29.148.187,1200
0c473d0c1d50,,78.29.159.90,1100
f0f2491a8660,,78.29.160.82,1030
0005ca900430,,78.29.178.134,1100
bc4dfb508f60,,81.20.246.218,1200
4434a72cd978,,81.20.249.133,1200
84948cf73cf0,,128.65.236.181,1100
1cabc0d80380,,128.65.239.131,1100
0c473d12aeb0,,128.65.242.59,1100
84948c63d430,,128.65.255.87,1100
00fc8dbec3a0,,78.29.147.157,1100
a84e3f1b50a0,,78.29.186.140,1100
bc1401c89dd0,,78.29.149.158,1100
2ca17d6b8b61,,81.20.245.136,1100
a84e3f34c1a0,,128.65.237.115,1100
a84e3f291490,,128.65.243.14,1100
0c473d0cb750,,78.29.166.72,1100
f0f249c479f0,,78.29.170.94,1200
0c473d157190,,78.29.185.64,1100
bc14019c3610,,78.29.145.129,1100
0c473d12a620,,78.29.145.221,1100
84948ced4670,,128.65.237.58,1200
2ca17d5df211,,128.65.255.151,1100
f0f249c47ad0,,78.29.177.149,1200
bc14019c4d50,,78.29.131.252,1100
1cabc0dae190,,78.29.139.243,1100
00fc8d65f670,,78.29.140.63,1100
00265b899f10,,81.20.255.200,1100
84948cef2130,,78.29.186.78,1100
f0f249983970,,78.29.130.226,1100
4434a72ce9a4,,78.29.145.69,1200
68b6fcb3be70,,78.29.178.232,1200
2ca17d6acacb,,78.29.180.233,1100
84948cedfc80,,81.20.251.7,1100
1cabc01e2570,,128.65.228.60,1100
1cabc0dd4cc0,,128.65.248.26,1020
f0f2494ca100,,128.65.253.58,1100
8c5bf07cc1e6,,78.29.171.237,1100
a84e3f333550,,78.29.177.208,1030
1cb044925d4a,,78.29.185.0,69
4434a72ce902,,78.29.189.211,1200
a84e3f2da940,,128.65.245.181,1100
68b6fcec3e80,,78.29.190.107,1100
0005caa84390,,78.29.138.103,1100
68b6fc3017c0,,81.20.246.251,1100
1cabc0d0e9f0,,128.65.240.145,1100
84948c814530,,78.29.141.77,1100
bc1401a39270,,78.29.152.181,1100
1cabc0d717c0,,78.29.157.221,1200
2ca17d6ee219,,81.20.248.30,1100
f0f249cac410,,81.20.250.178,1030
00fc8d6d2720,,128.65.231.116,1200
0c473d11dc30,,78.29.182.45,1200
8c5bf076cb8e,,78.29.157.37,1200
0c473d127ff0,,78.29.157.112,1100
68b6fc8da810,,81.20.253.183,1100
bc1401b1fd70,,128.65.250.39,1100
f0f24956da00,,78.29.184.106,1100
84948cef8780,,78.29.151.72,1200
2ca17d5dc4c9,,128.65.244.20,1100
f0f2494c4af0,,128.65.255.101,1100
68b6fc8e41b0,,78.29.177.1,1100
8c5bf076d0f8,,78.29.138.197,1200
84948ced39a0,,78.29.141.57,1100
0005ca89bae0,,78.29.150.155,1100
f0f2491a5130,,78.29.145.89,1100
2ca17d5e0567,,78.29.148.48,1100
0c473d107cb0,,81.20.244.130,999
8c5bf076bb50,,128.65.239.119,1120
1cabc0d0def0,,128.65.241.97,1100
68b6fc905870,,78.29.134.106,1100
84948cef2610,,78.29.134.242,1100
2ca17d646525,,78.29.144.123,1100
bc1401a62370,,78.29.148.173,1100
1cabc0d7fca0,,78.29.149.255,1100
bc4dfb4f30b0,,128.65.240.51,1100
00fc8d6b4f30,,128.65.243.182,1200
7c26343f4492,,78.29.169.47,1100
84948ca66970,,78.29.128.245,1100
84948cf964b0,,78.29.131.224,1100
0005ca88f8f0,,78.29.145.14,1100
a84e3f2ffde0,,128.65.231.38,1100
0c473d15d050,,128.65.252.158,1100
f0f24998def0,,78.29.191.146,1100
2ca17d5ded91,,78.29.136.114,1100
a84e3f314320,,78.29.159.130,1100
00fc8dbef3b0,,78.29.151.68,1100
84948cf9b080,,128.65.235.239,1100
0c473d0c6110,,128.65.239.204,1100
84948c65fbd0,,78.29.167.63,1030
0c473d0bea70,,78.29.184.68,1010
2ca17d5dd0ab,,78.29.132.187,1100
0c473d11eab0,,78.29.143.114,1200
0005caa05650,,78.29.139.146,1100
2ca17d73c963,,78.29.153.19,1100
84948cab08d0,,81.20.244.172,1100
f0f24993d970,,81.20.246.96,1100
84948ca02230,,128.65.252.118,1030
0c473d14f1a0,,128.65.253.193,1200
2ca17d57f36d,,128.65.253.217,1100
bc14018f1130,,78.29.177.24,1100
a84e3f1978a0,,78.29.168.254,1100
2ca17d5e0057,,78.29.183.127,1200
bc14019e1760,,81.20.251.4,1100
84948cabcd50,,128.65.228.25,1100
68b6fc2f9950,,128.65.235.139,1100
